medicine_name,composition,medicine_type,price,quantity_available,pharmacy,prescription_required
Atorvastatin 5mg Ointment,Atorvastatin 5mg,Ointment,186.13,129,Apollo Pharmacy,True
Methylcobalamin 40mg Gel,Methylcobalamin 40mg,Gel,474.03,220,Netmeds,False
Metformin 40mg Tablet,Metformin 40mg,Tablet,389.63,174,Apollo Pharmacy,True
Azithromycin 650mg Drops,Azithromycin 650mg,Drops,565.05,51,Apollo Pharmacy,True
Pantoprazole 20mg Drops,Pantoprazole 20mg,Drops,147.04,88,Wellness Forever,False
Methylcobalamin 40mg Cream,Methylcobalamin 40mg,Cream,172.95,25,Netmeds,False
Paracetamol 20mg Tablet,Paracetamol 20mg,Tablet,155.05,22,Sharma Medical,False
Ibuprofen 5mg Tablet,Ibuprofen 5mg,Tablet,139.19,10,Guardian Pharmacy,False
Metformin 650mg Injection,Metformin 650mg,Injection,314.13,34,Guardian Pharmacy,True
Amlodipine 10mg Ointment,Amlodipine 10mg,Ointment,501.28,47,Guardian Pharmacy,True
Ofloxacin 650mg Capsule,Ofloxacin 650mg,Capsule,627.49,32,Guardian Pharmacy,True
Paracetamol 40mg Cream,Paracetamol 40mg,Cream,265.07,188,MedPlus,False
Azithromycin 500mg Injection,Azithromycin 500mg,Injection,456.81,82,Sharma Medical,True
Ofloxacin 250mg Capsule,Ofloxacin 250mg,Capsule,233.52,114,Sharma Medical,True
Vitamin D3 200mg Capsule,Vitamin D3 200mg,Capsule,425.13,8,Netmeds,False
Tramadol 40mg Capsule,Tramadol 40mg,Capsule,624.98,167,Netmeds,True
Metformin 650mg Drops,Metformin 650mg,Drops,480.16,171,Wellness Forever,True
Ofloxacin 100mg Ointment,Ofloxacin 100mg,Ointment,289.9,192,Guardian Pharmacy,True
Pantoprazole 5mg Gel,Pantoprazole 5mg,Gel,542.01,27,Wellness Forever,False
Aceclofenac 100mg Injection,Aceclofenac 100mg,Injection,375.56,176,Netmeds,True
Levocetirizine 100mg Tablet,Levocetirizine 100mg,Tablet,554.91,51,Netmeds,False
Amlodipine 10mg Gel,Amlodipine 10mg,Gel,229.14,230,Guardian Pharmacy,True
Pantoprazole 200mg Tablet,Pantoprazole 200mg,Tablet,616.86,26,MedPlus,False
Diclofenac 200mg Ointment,Diclofenac 200mg,Ointment,495.71,181,Netmeds,True
Tramadol 250mg Ointment,Tramadol 250mg,Ointment,71.37,61,Netmeds,True
Atorvastatin 20mg Cream,Atorvastatin 20mg,Cream,313.94,140,Wellness Forever,True
Diclofenac 20mg Gel,Diclofenac 20mg,Gel,460.42,74,Wellness Forever,True
Pantoprazole 500mg Injection,Pantoprazole 500mg,Injection,472.18,85,Apollo Pharmacy,False
Losartan 5mg Syrup,Losartan 5mg,Syrup,150.05,128,Wellness Forever,True
Cefixime 500mg Cream,Cefixime 500mg,Cream,543.22,80,MedPlus,True
Vitamin D3 10mg Syrup,Vitamin D3 10mg,Syrup,21.03,141,MedPlus,False
Pantoprazole 250mg Tablet,Pantoprazole 250mg,Tablet,365.04,183,MedPlus,False
Tramadol 250mg Capsule,Tramadol 250mg,Capsule,378.25,125,Netmeds,True
Aceclofenac 650mg Gel,Aceclofenac 650mg,Gel,627.99,69,Netmeds,True
Amoxicillin 40mg Capsule,Amoxicillin 40mg,Capsule,325.73,152,Sharma Medical,True
Ibuprofen 650mg Syrup,Ibuprofen 650mg,Syrup,529.51,247,Wellness Forever,False
Azithromycin 500mg Injection,Azithromycin 500mg,Injection,368.05,111,Guardian Pharmacy,True
Ofloxacin 200mg Injection,Ofloxacin 200mg,Injection,254.68,237,Netmeds,True
Cetirizine 10mg Drops,Cetirizine 10mg,Drops,374.79,20,Guardian Pharmacy,False
Amoxicillin 5mg Injection,Amoxicillin 5mg,Injection,180.84,25,MedPlus,True
Atorvastatin 200mg Syrup,Atorvastatin 200mg,Syrup,59.89,5,Netmeds,True
Aceclofenac 10mg Ointment,Aceclofenac 10mg,Ointment,32.82,78,Sharma Medical,True
Cetirizine 500mg Ointment,Cetirizine 500mg,Ointment,450.55,241,Wellness Forever,False
Cefixime 40mg Injection,Cefixime 40mg,Injection,85.23,62,Sharma Medical,True
Metformin 650mg Cream,Metformin 650mg,Cream,57.56,47,Wellness Forever,True
Ofloxacin 100mg Cream,Ofloxacin 100mg,Cream,91.34,181,Wellness Forever,True
Methylcobalamin 200mg Cream,Methylcobalamin 200mg,Cream,356.51,117,Apollo Pharmacy,False
Ofloxacin 40mg Tablet,Ofloxacin 40mg,Tablet,480.63,159,Wellness Forever,True
Paracetamol 5mg Capsule,Paracetamol 5mg,Capsule,625.7,219,Guardian Pharmacy,False
Cefixime 10mg Tablet,Cefixime 10mg,Tablet,379.65,200,MedPlus,True
Tramadol 10mg Ointment,Tramadol 10mg,Ointment,127.79,154,Netmeds,True
Tramadol 100mg Capsule,Tramadol 100mg,Capsule,234.0,90,Wellness Forever,True
Amoxicillin 20mg Syrup,Amoxicillin 20mg,Syrup,274.63,131,Wellness Forever,True
Methylcobalamin 100mg Tablet,Methylcobalamin 100mg,Tablet,68.18,69,Wellness Forever,False
Amoxicillin 200mg Drops,Amoxicillin 200mg,Drops,538.3,5,Sharma Medical,True
Losartan 40mg Ointment,Losartan 40mg,Ointment,46.58,137,Wellness Forever,True
Ofloxacin 100mg Ointment,Ofloxacin 100mg,Ointment,496.87,57,Wellness Forever,True
Losartan 10mg Syrup,Losartan 10mg,Syrup,291.52,183,Netmeds,True
Amoxicillin 5mg Tablet,Amoxicillin 5mg,Tablet,464.84,84,Guardian Pharmacy,True
Paracetamol 500mg Drops,Paracetamol 500mg,Drops,155.36,220,Apollo Pharmacy,False
Aceclofenac 650mg Capsule,Aceclofenac 650mg,Capsule,329.96,188,Wellness Forever,True
Rabeprazole 40mg Cream,Rabeprazole 40mg,Cream,544.55,125,MedPlus,False
Aceclofenac 40mg Syrup,Aceclofenac 40mg,Syrup,133.61,158,Guardian Pharmacy,True
Metformin 10mg Capsule,Metformin 10mg,Capsule,504.97,223,Netmeds,True
Levocetirizine 250mg Cream,Levocetirizine 250mg,Cream,192.45,81,Guardian Pharmacy,False
Cefixime 650mg Ointment,Cefixime 650mg,Ointment,296.9,128,Wellness Forever,True
Levocetirizine 100mg Drops,Levocetirizine 100mg,Drops,607.16,227,MedPlus,False
Atorvastatin 5mg Drops,Atorvastatin 5mg,Drops,558.14,110,Apollo Pharmacy,True
Levocetirizine 40mg Ointment,Levocetirizine 40mg,Ointment,258.32,174,Sharma Medical,False
Metformin 250mg Ointment,Metformin 250mg,Ointment,92.55,156,Wellness Forever,True
Amoxicillin 500mg Ointment,Amoxicillin 500mg,Ointment,347.56,121,Apollo Pharmacy,True
Metformin 650mg Drops,Metformin 650mg,Drops,59.74,205,Wellness Forever,True
Levocetirizine 500mg Drops,Levocetirizine 500mg,Drops,555.43,223,Sharma Medical,False
Losartan 20mg Drops,Losartan 20mg,Drops,411.9,232,Netmeds,True
Losartan 500mg Tablet,Losartan 500mg,Tablet,161.78,180,Wellness Forever,True
Atorvastatin 40mg Capsule,Atorvastatin 40mg,Capsule,636.18,199,Sharma Medical,True
Amoxicillin 650mg Ointment,Amoxicillin 650mg,Ointment,454.77,236,Apollo Pharmacy,True
Ibuprofen 250mg Gel,Ibuprofen 250mg,Gel,199.17,100,Netmeds,False
Metformin 200mg Injection,Metformin 200mg,Injection,274.89,179,MedPlus,True
Telmisartan 500mg Syrup,Telmisartan 500mg,Syrup,400.86,102,Guardian Pharmacy,True
Atorvastatin 650mg Ointment,Atorvastatin 650mg,Ointment,160.14,168,Wellness Forever,True
Aceclofenac 250mg Cream,Aceclofenac 250mg,Cream,585.5,124,Wellness Forever,True
Losartan 500mg Syrup,Losartan 500mg,Syrup,293.82,93,Guardian Pharmacy,True
Cetirizine 10mg Drops,Cetirizine 10mg,Drops,303.46,82,MedPlus,False
Methylcobalamin 500mg Ointment,Methylcobalamin 500mg,Ointment,163.34,151,Wellness Forever,False
Cefixime 10mg Cream,Cefixime 10mg,Cream,26.0,217,Sharma Medical,True
Methylcobalamin 250mg Cream,Methylcobalamin 250mg,Cream,373.06,180,Sharma Medical,False
Ibuprofen 10mg Ointment,Ibuprofen 10mg,Ointment,506.92,63,Guardian Pharmacy,False
Vitamin D3 5mg Injection,Vitamin D3 5mg,Injection,408.13,178,Sharma Medical,False
Metformin 250mg Capsule,Metformin 250mg,Capsule,209.1,117,Apollo Pharmacy,True
Cefixime 650mg Gel,Cefixime 650mg,Gel,69.51,80,Wellness Forever,True
Diclofenac 5mg Syrup,Diclofenac 5mg,Syrup,96.32,143,Wellness Forever,True
Rabeprazole 650mg Cream,Rabeprazole 650mg,Cream,175.95,216,Netmeds,False
Cetirizine 500mg Gel,Cetirizine 500mg,Gel,310.8,24,MedPlus,False
Atorvastatin 200mg Drops,Atorvastatin 200mg,Drops,245.36,207,Netmeds,True
Paracetamol 200mg Cream,Paracetamol 200mg,Cream,90.85,99,Sharma Medical,False
Pantoprazole 20mg Drops,Pantoprazole 20mg,Drops,81.12,64,Netmeds,False
Paracetamol 5mg Gel,Paracetamol 5mg,Gel,425.2,167,Netmeds,False
Cetirizine 500mg Drops,Cetirizine 500mg,Drops,101.18,247,Apollo Pharmacy,False
Cetirizine 500mg Ointment,Cetirizine 500mg,Ointment,74.01,232,Guardian Pharmacy,False
Metformin 100mg Drops,Metformin 100mg,Drops,248.71,248,Sharma Medical,True
Losartan 650mg Drops,Losartan 650mg,Drops,576.89,172,Apollo Pharmacy,True
Tramadol 10mg Drops,Tramadol 10mg,Drops,32.87,99,MedPlus,True
Aceclofenac 5mg Ointment,Aceclofenac 5mg,Ointment,557.78,30,Sharma Medical,True
Vitamin D3 250mg Gel,Vitamin D3 250mg,Gel,266.01,53,Apollo Pharmacy,False
Aceclofenac 5mg Capsule,Aceclofenac 5mg,Capsule,421.41,157,Apollo Pharmacy,True
Ibuprofen 5mg Gel,Ibuprofen 5mg,Gel,642.87,206,Guardian Pharmacy,False
Amlodipine 200mg Capsule,Amlodipine 200mg,Capsule,144.17,60,MedPlus,True
Levocetirizine 250mg Syrup,Levocetirizine 250mg,Syrup,188.9,42,MedPlus,False
Losartan 650mg Cream,Losartan 650mg,Cream,82.13,226,Apollo Pharmacy,True
Metformin 20mg Tablet,Metformin 20mg,Tablet,516.01,65,Guardian Pharmacy,True
Levocetirizine 650mg Tablet,Levocetirizine 650mg,Tablet,181.3,37,Sharma Medical,False
Diclofenac 500mg Capsule,Diclofenac 500mg,Capsule,315.84,204,Wellness Forever,True
Rabeprazole 100mg Capsule,Rabeprazole 100mg,Capsule,333.45,247,Guardian Pharmacy,False
Ibuprofen 100mg Cream,Ibuprofen 100mg,Cream,422.45,12,Apollo Pharmacy,False
Tramadol 40mg Drops,Tramadol 40mg,Drops,449.73,130,Sharma Medical,True
Aceclofenac 500mg Capsule,Aceclofenac 500mg,Capsule,217.51,42,Apollo Pharmacy,True
Metformin 200mg Cream,Metformin 200mg,Cream,466.35,102,Guardian Pharmacy,True
Rabeprazole 100mg Cream,Rabeprazole 100mg,Cream,334.54,115,Apollo Pharmacy,False
Amoxicillin 40mg Injection,Amoxicillin 40mg,Injection,300.09,63,Netmeds,True
Levocetirizine 40mg Ointment,Levocetirizine 40mg,Ointment,277.4,29,Wellness Forever,False
Diclofenac 10mg Gel,Diclofenac 10mg,Gel,250.8,44,Sharma Medical,True
Tramadol 500mg Capsule,Tramadol 500mg,Capsule,542.67,28,Netmeds,True
Amoxicillin 650mg Gel,Amoxicillin 650mg,Gel,366.96,155,Guardian Pharmacy,True
Losartan 500mg Gel,Losartan 500mg,Gel,274.1,228,Sharma Medical,True
Diclofenac 10mg Tablet,Diclofenac 10mg,Tablet,395.06,95,Apollo Pharmacy,True
Cefixime 650mg Injection,Cefixime 650mg,Injection,431.0,62,Apollo Pharmacy,True
Vitamin D3 500mg Gel,Vitamin D3 500mg,Gel,498.54,151,MedPlus,False
Diclofenac 10mg Tablet,Diclofenac 10mg,Tablet,30.47,74,Sharma Medical,True
Cetirizine 20mg Gel,Cetirizine 20mg,Gel,15.9,227,MedPlus,False
Cefixime 500mg Drops,Cefixime 500mg,Drops,102.52,167,Apollo Pharmacy,True
Azithromycin 40mg Injection,Azithromycin 40mg,Injection,279.85,92,MedPlus,True
Vitamin D3 20mg Cream,Vitamin D3 20mg,Cream,507.62,150,Guardian Pharmacy,False
Azithromycin 650mg Tablet,Azithromycin 650mg,Tablet,112.43,163,Apollo Pharmacy,True
Azithromycin 100mg Cream,Azithromycin 100mg,Cream,434.32,129,Guardian Pharmacy,True
Aceclofenac 10mg Drops,Aceclofenac 10mg,Drops,149.53,136,Apollo Pharmacy,True
Vitamin D3 500mg Drops,Vitamin D3 500mg,Drops,192.71,178,Guardian Pharmacy,False
Tramadol 250mg Cream,Tramadol 250mg,Cream,152.69,158,Apollo Pharmacy,True
Paracetamol 10mg Injection,Paracetamol 10mg,Injection,615.12,201,MedPlus,False
Pantoprazole 20mg Cream,Pantoprazole 20mg,Cream,88.55,132,Sharma Medical,False
Diclofenac 650mg Syrup,Diclofenac 650mg,Syrup,254.57,185,MedPlus,True
Rabeprazole 500mg Gel,Rabeprazole 500mg,Gel,265.33,194,Apollo Pharmacy,False
Diclofenac 100mg Tablet,Diclofenac 100mg,Tablet,599.7,225,Wellness Forever,True
Cefixime 40mg Drops,Cefixime 40mg,Drops,464.66,111,Wellness Forever,True
Amoxicillin 250mg Drops,Amoxicillin 250mg,Drops,628.44,48,Guardian Pharmacy,True
Aceclofenac 500mg Gel,Aceclofenac 500mg,Gel,290.62,32,MedPlus,True
Diclofenac 200mg Drops,Diclofenac 200mg,Drops,62.18,227,Wellness Forever,True
Levocetirizine 20mg Injection,Levocetirizine 20mg,Injection,509.08,24,Guardian Pharmacy,False
Amoxicillin 20mg Injection,Amoxicillin 20mg,Injection,236.0,250,Sharma Medical,True
Metformin 500mg Injection,Metformin 500mg,Injection,105.43,55,MedPlus,True
Ofloxacin 500mg Syrup,Ofloxacin 500mg,Syrup,125.02,202,Sharma Medical,True
Tramadol 100mg Ointment,Tramadol 100mg,Ointment,446.56,230,Guardian Pharmacy,True
Ofloxacin 20mg Gel,Ofloxacin 20mg,Gel,108.31,22,Netmeds,True
Aceclofenac 10mg Cream,Aceclofenac 10mg,Cream,389.33,95,Guardian Pharmacy,True
Azithromycin 100mg Cream,Azithromycin 100mg,Cream,300.32,19,Wellness Forever,True
Cetirizine 500mg Capsule,Cetirizine 500mg,Capsule,404.38,134,Netmeds,False
Aceclofenac 100mg Tablet,Aceclofenac 100mg,Tablet,591.97,151,Sharma Medical,True
Amlodipine 100mg Gel,Amlodipine 100mg,Gel,331.87,250,Apollo Pharmacy,True
Aceclofenac 20mg Capsule,Aceclofenac 20mg,Capsule,638.76,26,Guardian Pharmacy,True
Telmisartan 5mg Tablet,Telmisartan 5mg,Tablet,463.46,117,Guardian Pharmacy,True
Rabeprazole 20mg Syrup,Rabeprazole 20mg,Syrup,249.88,77,Netmeds,False
Diclofenac 250mg Gel,Diclofenac 250mg,Gel,515.53,170,Wellness Forever,True
Azithromycin 500mg Gel,Azithromycin 500mg,Gel,367.98,103,Wellness Forever,True
Pantoprazole 20mg Syrup,Pantoprazole 20mg,Syrup,64.0,174,MedPlus,False
Vitamin D3 40mg Cream,Vitamin D3 40mg,Cream,94.27,186,Apollo Pharmacy,False
Cetirizine 20mg Drops,Cetirizine 20mg,Drops,530.81,176,Sharma Medical,False
Rabeprazole 40mg Capsule,Rabeprazole 40mg,Capsule,336.42,9,Wellness Forever,False
Cetirizine 5mg Syrup,Cetirizine 5mg,Syrup,230.03,201,Netmeds,False
Amlodipine 650mg Injection,Amlodipine 650mg,Injection,110.86,80,Apollo Pharmacy,True
Rabeprazole 20mg Tablet,Rabeprazole 20mg,Tablet,571.14,163,MedPlus,False
Ofloxacin 650mg Drops,Ofloxacin 650mg,Drops,115.51,217,Sharma Medical,True
Ofloxacin 100mg Syrup,Ofloxacin 100mg,Syrup,39.88,98,Sharma Medical,True
Atorvastatin 10mg Ointment,Atorvastatin 10mg,Ointment,492.03,205,Netmeds,True
Atorvastatin 10mg Injection,Atorvastatin 10mg,Injection,628.05,205,Netmeds,True
Amlodipine 100mg Gel,Amlodipine 100mg,Gel,306.55,77,Netmeds,True
Rabeprazole 650mg Drops,Rabeprazole 650mg,Drops,533.18,210,Guardian Pharmacy,False
Metformin 250mg Cream,Metformin 250mg,Cream,421.07,228,Wellness Forever,True
Losartan 200mg Capsule,Losartan 200mg,Capsule,555.04,77,Apollo Pharmacy,True
Telmisartan 100mg Cream,Telmisartan 100mg,Cream,589.59,42,Netmeds,True
Azithromycin 100mg Injection,Azithromycin 100mg,Injection,576.39,243,Apollo Pharmacy,True
Diclofenac 40mg Tablet,Diclofenac 40mg,Tablet,332.28,65,Netmeds,True
Azithromycin 5mg Gel,Azithromycin 5mg,Gel,29.98,243,Apollo Pharmacy,True
Levocetirizine 650mg Syrup,Levocetirizine 650mg,Syrup,36.44,239,Netmeds,False
Metformin 100mg Ointment,Metformin 100mg,Ointment,404.59,236,Apollo Pharmacy,True
Paracetamol 5mg Cream,Paracetamol 5mg,Cream,544.71,145,Sharma Medical,False
Ofloxacin 500mg Drops,Ofloxacin 500mg,Drops,507.2,65,Wellness Forever,True
Amoxicillin 5mg Tablet,Amoxicillin 5mg,Tablet,279.85,208,Guardian Pharmacy,True
Aceclofenac 500mg Capsule,Aceclofenac 500mg,Capsule,545.81,132,Guardian Pharmacy,True
Losartan 200mg Tablet,Losartan 200mg,Tablet,378.88,188,MedPlus,True
Cetirizine 250mg Drops,Cetirizine 250mg,Drops,404.25,66,Guardian Pharmacy,False
Diclofenac 500mg Syrup,Diclofenac 500mg,Syrup,345.98,97,Apollo Pharmacy,True
Rabeprazole 40mg Tablet,Rabeprazole 40mg,Tablet,569.19,16,Sharma Medical,False
Methylcobalamin 10mg Gel,Methylcobalamin 10mg,Gel,488.79,96,Apollo Pharmacy,False
Vitamin D3 500mg Injection,Vitamin D3 500mg,Injection,504.22,193,Wellness Forever,False
Metformin 20mg Tablet,Metformin 20mg,Tablet,360.36,213,Sharma Medical,True
Telmisartan 100mg Ointment,Telmisartan 100mg,Ointment,415.05,212,MedPlus,True
Azithromycin 250mg Ointment,Azithromycin 250mg,Ointment,199.22,16,MedPlus,True
Ibuprofen 10mg Gel,Ibuprofen 10mg,Gel,340.81,213,Guardian Pharmacy,False
Tramadol 250mg Cream,Tramadol 250mg,Cream,492.6,53,Wellness Forever,True
